# PL profil-meres, 2. kor: a `detail` szamparjanak SORRENDJE.
# Hiteles forras: event/1/fixtures (team_h, team_a, team_h_score,
# team_a_score kulon mezoben). Ehhez merjuk a `detail` szoveget.

### 10 meccs a 1. forduloban.

=== Martinez         detail='BHA (A) 4-0'      | fixtures: BHA 4-0 AVL | ellenfel a detailben: BHA -> HAZAI-VENDEG
=== Maatsen          detail='BHA (A) 4-0'      | fixtures: BHA 4-0 AVL | ellenfel a detailben: BHA -> HAZAI-VENDEG
=== Rogers           detail='FUL (A) 2-3'      | fixtures: FUL 2-3 CHE | ellenfel a detailben: FUL -> HAZAI-VENDEG
=== Buendía          detail='BHA (A) 4-0'      | fixtures: BHA 4-0 AVL | ellenfel a detailben: BHA -> HAZAI-VENDEG
=== Tielemans        detail='HUL (A) 2-0'      | fixtures: HUL 2-0 MUN | ellenfel a detailben: HUL -> HAZAI-VENDEG
=== McGinn           detail='BHA (A) 4-0'      | fixtures: BHA 4-0 AVL | ellenfel a detailben: BHA -> HAZAI-VENDEG
=== Watkins          detail='BHA (A) 4-0'      | fixtures: BHA 4-0 AVL | ellenfel a detailben: BHA -> HAZAI-VENDEG
=== Petrović         detail='MCI (A) 2-1'      | fixtures: MCI 2-1 BOU | ellenfel a detailben: MCI -> HAZAI-VENDEG
=== Hill             detail='MCI (A) 2-1'      | fixtures: MCI 2-1 BOU | ellenfel a detailben: MCI -> HAZAI-VENDEG
=== Truffert         detail='MCI (A) 2-1'      | fixtures: MCI 2-1 BOU | ellenfel a detailben: MCI -> HAZAI-VENDEG
=== Rayan            detail='MCI (A) 2-1'      | fixtures: MCI 2-1 BOU | ellenfel a detailben: MCI -> HAZAI-VENDEG
=== Kluivert         detail='MCI (A) 2-1'      | fixtures: MCI 2-1 BOU | ellenfel a detailben: MCI -> HAZAI-VENDEG
=== Evanilson        detail='MCI (A) 2-1'      | fixtures: MCI 2-1 BOU | ellenfel a detailben: MCI -> HAZAI-VENDEG
=== Van Hecke        detail='BRE (A) 3-0'      | fixtures: BRE 3-0 TOT | ellenfel a detailben: BRE -> HAZAI-VENDEG
=== Welbeck          detail='FUL (A) 2-3'      | fixtures: FUL 2-3 CHE | ellenfel a detailben: FUL -> HAZAI-VENDEG
=== Sánchez          detail='FUL (A) 2-3'      | fixtures: FUL 2-3 CHE | ellenfel a detailben: FUL -> HAZAI-VENDEG
=== James            detail='FUL (A) 2-3'      | fixtures: FUL 2-3 CHE | ellenfel a detailben: FUL -> HAZAI-VENDEG
=== Colwill          detail='FUL (A) 2-3'      | fixtures: FUL 2-3 CHE | ellenfel a detailben: FUL -> HAZAI-VENDEG
=== Palestra         detail='FUL (A) 2-3'      | fixtures: FUL 2-3 CHE | ellenfel a detailben: FUL -> HAZAI-VENDEG
=== Palmer           detail='FUL (A) 2-3'      | fixtures: FUL 2-3 CHE | ellenfel a detailben: FUL -> HAZAI-VENDEG
=== Enzo             detail='FUL (A) 2-3'      | fixtures: FUL 2-3 CHE | ellenfel a detailben: FUL -> HAZAI-VENDEG
=== Neto             detail='FUL (A) 2-3'      | fixtures: FUL 2-3 CHE | ellenfel a detailben: FUL -> HAZAI-VENDEG
=== Estêvão          detail='FUL (A) 2-3'      | fixtures: FUL 2-3 CHE | ellenfel a detailben: FUL -> HAZAI-VENDEG
=== Caicedo          detail='FUL (A) 2-3'      | fixtures: FUL 2-3 CHE | ellenfel a detailben: FUL -> HAZAI-VENDEG
=== João Pedro       detail='FUL (A) 2-3'      | fixtures: FUL 2-3 CHE | ellenfel a detailben: FUL -> HAZAI-VENDEG

### 25 idegenbeli, NEM dontetlen meccs vizsgalva.
###   hazai-vendeg olvasat stimmel:      25
###   jatekos-ellenfel olvasat stimmel:  0
